"","M1","M2","M3"
"Gsr",2.22044604925031e-16,0.0579806519065049,2.22044604925031e-16
"Gclc",0.00661086674097008,2.22044604925031e-16,0.0168671394651436
"Gclm",2.22044604925031e-16,0.156200344727886,2.22044604925031e-16
"Suclg1",2.22044604925031e-16,2.22044604925031e-16,0.133660570047819
"Sucla2",2.22044604925031e-16,2.22044604925031e-16,0.108007273373327
"Sdha",0.0601392722212641,0.0617387240929041,0.0529910122622841
"Sdhb",0.0829180073099805,0.079403440754356,0.0765734425229567
"Kat2a",2.22044604925031e-16,2.22044604925031e-16,0.0299768437942962
"Kat2b",0.0129892953227247,0.00620662324572598,2.22044604925031e-16
"Sirt5",0.000219129310321952,2.22044604925031e-16,0.0117336308420862
"Ldha",2.22044604925031e-16,0.26392594918004,0.168475235179537
"Ldhb",0.29201188312235,2.22044604925031e-16,2.22044604925031e-16
"Slc16a1",2.22044604925031e-16,0.123697266051793,2.22044604925031e-16
"Slc16a3",0.0278555486721408,2.22044604925031e-16,2.22044604925031e-16
"Ep300",0.0336743951593804,2.22044604925031e-16,2.22044604925031e-16
"Hdac1",2.22044604925031e-16,0.102693463106567,2.22044604925031e-16
"Hdac2",2.22044604925031e-16,2.22044604925031e-16,0.0709315404815323
"Hdac3",2.22044604925031e-16,2.22044604925031e-16,0.0660366548646296
"Sirt1",2.22044604925031e-16,2.22044604925031e-16,0.00897012194451405
"Sirt2",0.132555678044861,2.22044604925031e-16,2.22044604925031e-16
"Sirt3",2.22044604925031e-16,2.22044604925031e-16,0.0273219097523214
"Padi4",2.22044604925031e-16,0.000274849345297918,2.22044604925031e-16
