"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140236","translation at presynapse","23/509","49/25730",0.469387755102041,23.727597129225,22.6221975527036,1.44234772627803e-26,3.93916929134061e-23,2.67506836029788e-23,"67671/20044/67115/66489/54217/57294/68436/20055/67281/20103/270106/19981/19942/22186/20005/22121/26451/26961/66480/19951/19982/19944/267019",23
"GO:0140241","translation at synapse","23/509","50/25730",0.46,23.2530451866405,22.3751592945558,2.62261603950773e-26,3.93916929134061e-23,2.67506836029788e-23,"67671/20044/67115/66489/54217/57294/68436/20055/67281/20103/270106/19981/19942/22186/20005/22121/26451/26961/66480/19951/19982/19944/267019",23
"GO:0140242","translation at postsynapse","23/509","50/25730",0.46,23.2530451866405,22.3751592945558,2.62261603950773e-26,3.93916929134061e-23,2.67506836029788e-23,"67671/20044/67115/66489/54217/57294/68436/20055/67281/20103/270106/19981/19942/22186/20005/22121/26451/26961/66480/19951/19982/19944/267019",23
"GO:0002181","cytoplasmic translation","38/509","214/25730",0.177570093457944,8.97618566733379,16.6450474800622,3.92265675223846e-25,4.41887283139663e-22,3.00083241546242e-22,"67671/67945/20085/22608/20104/20044/67115/66489/54217/68436/20055/67281/20115/20103/270106/19981/19942/66085/22186/67427/20005/20084/22121/26451/26961/66480/27050/18746/20116/20054/19951/114641/20068/19982/19944/267019/22384/16898",38
"GO:0003158","endothelium development","27/509","152/25730",0.177631578947368,8.97929376486403,14.0165829123183,3.27438697867979e-18,2.95087754518623e-15,2.00392483095203e-15,"12741/12215/15901/11482/20671/18613/12490/207728/12562/53945/16542/74144/108655/11848/21872/13614/20672/21846/13609/29876/77446/12168/381823/18795/18591/12387/16889",27
"GO:1901342","regulation of vasculature development","37/509","327/25730",0.113149847094801,5.71973588555842,12.2022034606747,1.23060029674537e-17,9.24180822855774e-15,6.27606151340139e-15,"12741/14254/15901/54409/15507/11482/13805/12490/20315/12562/16598/12509/16542/66214/11535/14461/21872/11745/21687/15289/13601/21846/23871/18746/18186/18127/21413/20684/12827/21817/12387/20620/69219/319197/19274/20130/80837",37
"GO:0045765","regulation of angiogenesis","36/509","320/25730",0.1125,5.68688605108055,11.9852264810937,4.1295078243583e-17,2.65822317950836e-14,1.80518484893377e-14,"12741/14254/15901/54409/15507/11482/13805/12490/12562/16598/12509/16542/66214/11535/14461/21872/11745/21687/15289/13601/21846/23871/18746/18186/18127/21413/20684/12827/21817/12387/20620/69219/319197/19274/20130/80837",36
"GO:0043542","endothelial cell migration","31/509","247/25730",0.125506072874494,6.34434431249652,11.9896587712837,3.04480469193329e-16,1.71498624273143e-13,1.16463779466448e-13,"26357/12215/15507/11482/14268/18613/20315/12562/66864/16542/72630/66214/74144/108655/14461/11848/11745/21687/15289/20672/23871/105450/18186/18127/56233/20684/18591/20620/19274/20130/80837",31
"GO:0007264","small GTPase-mediated signal transduction","40/509","461/25730",0.0867678958785249,4.38612566002838,10.4219431403417,5.71090454851987e-15,2.85925954395895e-12,1.94170754649676e-12,"80880/18613/69903/12549/12575/56508/56349/17207/11848/218952/71520/16765/105445/11853/18186/77446/21927/50768/22630/108100/11845/21844/21817/68178/20620/319197/66922/330171/192662/17311/20163/260409/214137/71704/19395/12175/76281/16889/80837/19765",40
"GO:0031589","cell-substrate adhesion","36/509","383/25730",0.0939947780678851,4.75144526461038,10.5080931123344,1.19850561568986e-14,5.4004663042985e-12,3.66742718401097e-12,"11482/94214/14268/18613/12490/12306/225341/16542/230379/56349/11848/170736/218952/22371/57278/21687/72349/11465/29875/18186/56229/50768/16403/13132/60595/18591/21844/19944/22319/12387/110253/68169/20130/77569/22288/20163",36
"GO:0007015","actin filament organization","40/509","478/25730",0.0836820083682008,4.23013374324913,10.1268821545353,1.90271005646188e-14,7.79419228583386e-12,5.29299342979397e-12,"69524/15901/80880/20742/19240/326618/18613/21346/66214/74103/102866/11848/218952/21872/269593/16765/11465/11853/29875/13609/56378/11867/18186/21927/50768/215114/60595/108100/11845/68178/442801/110253/50875/11840/20740/77569/19062/260409/59069/80837",40
"GO:0003018","vascular process in circulatory system","30/509","268/25730",0.111940298507463,5.65859308565229,10.8909336306489,2.08994456833235e-14,7.84774185408799e-12,5.3293586492475e-12,"12741/20525/26357/18671/54409/18260/18613/207728/12562/16598/16542/11535/11848/218952/21872/76574/13614/230857/14528/14630/12168/18127/20502/18591/69219/319197/67087/19274/83397/12389",30
"GO:0001570","vasculogenesis","19/509","99/25730",0.191919191919192,9.70153400408803,12.3230961557041,7.58815745109403e-14,2.63017211343305e-11,1.78613552310367e-11,"353156/26357/54409/13805/20671/12490/69903/16542/11535/14615/21687/20672/21846/18186/77446/56233/12387/20130/12389",19
"GO:0045446","endothelial cell differentiation","21/509","127/25730",0.165354330708661,8.35867766038086,11.8098778429973,8.19325283617837e-14,2.63705694855855e-11,1.79081097705042e-11,"12741/15901/11482/20671/18613/207728/12562/16542/74144/21872/13614/20672/21846/13609/29876/77446/12168/381823/18795/12387/16889",21
"GO:1904018","positive regulation of vasculature development","25/509","191/25730",0.130890052356021,6.61650500416585,11.0680237736725,9.02902996953538e-14,2.71232060284843e-11,1.84192211378522e-11,"14254/54409/15507/11482/13805/12490/20315/12562/16542/11535/14461/21872/11745/21687/15289/13601/21846/23871/18746/18186/18127/21817/12387/69219/20130",25
"GO:0007266","Rho protein signal transduction","22/509","149/25730",0.147651006711409,7.46377289328991,11.2411219134852,2.3152727367996e-13,6.52038684501187e-11,4.42795910912923e-11,"80880/18613/69903/56349/17207/11848/218952/16765/105445/18186/77446/21927/50768/108100/319197/330171/192662/260409/71704/76281/80837/19765",22
"GO:0035456","response to interferon-beta","17/509","80/25730",0.2125,10.7418958742633,12.3974962524314,2.68855280861111e-13,7.12624644447156e-11,4.83939505549999e-11,"66141/12313/15957/80876/15959/60440/15975/69550/327959/100039796/12334/14469/21822/80290/55932/229900/15953",17
"GO:0045766","positive regulation of angiogenesis","24/509","188/25730",0.127659574468085,6.45320402959495,10.6608642890446,4.95249202488155e-13,1.23977383689535e-10,8.41923644229863e-11,"14254/54409/15507/11482/13805/12490/12562/16542/11535/14461/21872/11745/21687/15289/13601/21846/23871/18746/18186/18127/21817/12387/69219/20130",24
"GO:1902903","regulation of supramolecular fiber organization","34/509","399/25730",0.0852130325814536,4.30752716762437,9.45916702518344,1.10788630713495e-12,2.627439842079e-10,1.78428005254366e-10,"69524/15901/80880/20742/18613/11820/12562/66214/11848/218952/21872/16765/13614/11465/193740/11853/27050/13609/56378/18186/50768/108100/11845/68178/442801/50875/11840/20740/12389/77569/19062/260409/56612/67199",34
"GO:0010594","regulation of endothelial cell migration","23/509","183/25730",0.12568306010929,6.35329103460122,10.3244194221786,2.11849416665041e-12,4.77296735746337e-10,3.24129607497512e-10,"12215/15507/11482/16542/66214/74144/108655/14461/11848/11745/21687/15289/23871/105450/18186/18127/56233/20684/18591/20620/19274/20130/80837",23
"GO:0043534","blood vessel endothelial cell migration","20/509","134/25730",0.149253731343284,7.54479078086972,10.7907420240094,2.33249153641456e-12,5.00486041099239e-10,3.39877338163265e-10,"15507/11482/20315/12562/66864/16542/66214/74144/14461/11848/15289/20672/23871/105450/18186/18127/56233/18591/20620/80837",20
