"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.11035929175859e-129,1.34275409053583,0.887,0.557,2.07370701328835e-125,"3","Ldha"
7.02283374512099e-90,1.13491913361085,0.886,0.688,1.3115844302388e-85,"3","Cldn5"
3.52220529857943e-87,1.20038403608423,0.805,0.52,6.57807061562694e-83,"3","Slco1a4"
2.60973316280829e-86,1.17403409573865,0.855,0.613,4.87393765486077e-82,"3","Pglyrp1"
9.25860531147012e-84,0.974064654319821,0.937,0.789,1.72913712797016e-79,"3","Ly6c1"
2.62703962951582e-83,1.06511989942953,0.86,0.62,4.90625921208375e-79,"3","Slc2a1"
2.3324042559659e-81,1.06067289266177,0.812,0.477,4.35599818844191e-77,"3","Egfl7"
3.50813173990128e-81,1.14996376379386,0.782,0.454,6.55178683743963e-77,"3","Abcg2"
2.60473649337388e-79,2.54239011574601,0.42,0.128,4.86460587502505e-75,"3","Slc16a1"
1.06260907521968e-77,0.97799785277603,0.91,0.781,1.98452870888028e-73,"3","Ly6a"
1.92282193433247e-75,1.08551545343141,0.776,0.479,3.59106224455933e-71,"3","Esam"
4.15166925184715e-75,1.07173277715681,0.89,0.725,7.75365749474974e-71,"3","Itm2a"
6.77082302753764e-75,1.03894199809042,0.993,0.985,1.26451890862293e-70,"3","Bsg"
3.71027618624463e-73,1.03437978878857,0.801,0.517,6.92931180543048e-69,"3","Flt1"
2.08289638246313e-71,1.17950947256114,0.723,0.416,3.89001728388814e-67,"3","Vwa1"
1.07345565982919e-70,1.41499353439938,0.749,0.49,2.004785790297e-66,"3","Ctla2a"
1.8698933099167e-69,0.705518749825987,0.969,0.918,3.49221274560042e-65,"3","Rpl38"
9.54919425222214e-69,1.12415784802977,0.723,0.422,1.78340751854501e-64,"3","Sgms1"
5.48133372679962e-64,1.03846196994994,0.783,0.555,1.0236938868171e-59,"3","Id1"
9.86258739154978e-63,0.896122017657735,0.863,0.716,1.84193682124584e-58,"3","Tsc22d1"
1.00725882391649e-62,1.30212771283263,0.631,0.348,1.88115657954644e-58,"3","Slc7a5"
1.11989287521047e-62,1.26493226740549,0.602,0.311,2.09151193374307e-58,"3","Adgrl4"
1.75235181607809e-60,0.817114449934592,0.86,0.645,3.27269225170743e-56,"3","Crip2"
4.26746579076142e-60,1.18298375154519,0.613,0.305,7.96991911082603e-56,"3","Abcb1a"
3.21994972896757e-59,1.22582507639349,0.597,0.306,6.01357811381983e-55,"3","Paqr5"
4.47869116458454e-59,1.14991467649664,0.628,0.336,8.36440361897809e-55,"3","Kank3"
7.77748630015037e-59,0.812885645029283,0.888,0.659,1.45252334141608e-54,"3","Igfbp7"
7.86847143124575e-58,0.998392444138884,0.727,0.462,1.46951572449946e-53,"3","Ramp2"
2.24387338259292e-57,0.830099698957026,0.843,0.637,4.19065792933054e-53,"3","Id3"
1.15133761551318e-56,1.09038132152619,0.696,0.445,2.15023813073242e-52,"3","Slco1c1"
3.12982115170527e-55,1.2640042473764,0.641,0.389,5.84525398292476e-51,"3","Car4"
3.43306111794368e-55,0.975725865866818,0.724,0.456,6.41158494387161e-51,"3","Sptbn1"
8.93211741945657e-55,1.093181561242,0.685,0.443,1.66816224925771e-50,"3","Arl4a"
6.01020600820052e-54,0.974158747594551,0.737,0.491,1.12246607409153e-49,"3","Gng11"
6.59084808883019e-52,0.998679536995385,0.709,0.473,1.23090678906993e-47,"3","Cd200"
9.37938695001946e-52,0.635432950461241,0.94,0.826,1.75169430678563e-47,"3","Ifitm3"
